Beat #,Time (s),R Index,Heart Rate (bpm)
1,0.21394831897749375,77,
2,1.0280633509308141,370,73.69965870307168
3,1.8421783828841347,663,73.69965870307165
4,2.6312864684634625,947,76.03521126760562
5,3.42039455404279,1231,76.03521126760566
6,4.209502639622118,1515,76.03521126760562
7,5.026396221172548,1809,73.44897959183676
8,5.679355376493471,2044,91.88936170212754
9,6.676854681856072,2403,60.150417827298064
10,7.518755209780495,2706,71.2673267326733
11,8.327313142539595,2997,74.20618556701031
12,9.121978327313144,3283,75.50349650349638
